codmuni,elec_id,municipio,coddept,tipo_eleccion,s_nvote_avg,s_mvote_avg,s_natlseats_14,s_match_muniseat,s_match_presseat,s_match_muniseatpres,s_match_none,s_votepro_centro,s_votepro_conserv,s_votepro_iz,s_votepro_lib,s_votepro_min,s_votepro_other,s_votepro_tv,s_votepro_urib,s_seatpro_centro,s_seatpro_conserv,s_seatpro_iz,s_seatpro_lib,s_seatpro_min,s_seatpro_other,s_seatpro_tv,s_seatpro_urib
5347,senado02,HELICONIA,5,2,10592550.25,2267.75,102,0.25,0.75,0,0,0.0024979598369069727,0.443760386118499,0.014764487782604795,0.2085693402401365,0.070056464778481,0.37509043576811524,0.16319612590799,0.09186293710265787,0,0,0,0,0,0,0,0
5353,senado02,HISPANIA,5,2,10592550.25,2391.25,102,0.25,0.5,0.25,0,0.007018043021693723,0.27901540657978396,0.013009418825581931,0.22535012340740124,0.0053206615070636966,0.4507642040804183,0.0509521358723623,0.15588119744483914,0,0,0,0,0,0,0,0
5360,senado02,ITAGUI,5,2,10592550.25,83264.75,102,0,0.5,0.25,0.25,0.01459954181303941,0.40591504759178754,0.04319861982540555,0.1110791551612064,0.01715833824541627,0.43478053086804674,0.0357396329717125,0.1968301619753805,0,0,0,0,0,0,0,0
5361,senado02,ITUANGO,5,2,10592550.25,3518.5,102,0,0.75,0,0.25,0.007515452850011099,0.52053663013247,0.0197465080047994,0.14263474437523105,0.006175534616005024,0.43751046953080297,0.022303696914146,0.133869052197283,0,0,0,0,0,0,0,0
5364,senado02,JARDIN,5,2,10592550.25,5362.75,102,0,0.5,0.25,0.25,0.009437396403377964,0.4347403806463825,0.036527617157383646,0.0376784595366672,0.025172447636720996,0.44142949569557627,0.0450584484590861,0.2480360507210275,0,0,0,0,0,0,0,0
5368,senado02,JERICO,5,2,10592550.25,5218.25,102,0.25,0.75,0,0,0.006132252935956033,0.2731324486515045,0.013693953431074025,0.2568090711460568,0.005989276181305464,0.36178018230396675,0.0951646090534979,0.20511524640736675,0,0,0,0,0,0,0,0
5376,senado02,LA CEJA,5,2,10592550.25,18185,102,0,0.25,0.5,0.25,0.009143823299017008,0.16544860530817201,0.0261312598364206,0.12307209709366,0.09163807532563635,0.378448656344353,0.207387862796834,0.275255924321992,0,0,0,0,0,0,0,0
5380,senado02,LA ESTRELLA,5,2,10592550.25,15824.25,102,0.25,0.5,0.25,0,0.017000962689380502,0.299306172530664,0.033332963636510046,0.13609085952592692,0.01116053478559633,0.47921878597427175,0.145956383462063,0.16076056744446598,0,0,0,0,0,0,0,0
5390,senado02,LA PINTADA,5,2,10592550.25,2370.25,102,0.25,0.25,0.5,0,0.005230395874412255,0.1354657970574852,0.011203712268368641,0.20866232324178774,0.050878734622144116,0.4151970194427747,0.131368421052632,0.24190923214107451,0,0,0,0,0,0,0,0
5400,senado02,LA UNION,5,2,10592550.25,6564.25,102,0.25,0.25,0.5,0,0.014743897804005687,0.1469784333792225,0.021260191230538537,0.22148364415507477,0.09241119364782885,0.37151278533395227,0.0687813562065059,0.22532260056559025,0,0,0,0,0,0,0,0
