elec_id,codmuni,year,municipio,c_match_munidept,c_match_presdept,c_match_munideptpres,c_match_none,coddept,tipo_eleccion,cam_dvote,cam_mvote,dstot,c_votepro_centro,c_votepro_conserv,c_votepro_iz,c_votepro_lib,c_votepro_min,c_votepro_other,c_votepro_tv,c_votepro_urib,c_seatpro_centro,c_seatpro_conserv,c_seatpro_iz,c_seatpro_lib,c_seatpro_min,c_seatpro_other,c_seatpro_tv,c_seatpro_urib
camara02,5206,2002,CONCEPCION,0,1,0,0,5,3,1097317,1290,17,0.00310077519379845,NA,NA,0.490697674418605,0.0062015503875969,0,NA,0.2,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5209,2002,CONCORDIA,0,0,1,0,5,3,1097317,2837,17,0.00493479027141347,NA,NA,0.0789566443426154,0.010927035600987,0,NA,0.103278110680296,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5212,2002,COPACABANA,0,0,1,0,5,3,1097317,14627,17,0.0028030354823272,NA,NA,0.198263485335339,0.008135639570657,0,NA,0.371846585082382,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5234,2002,DABEIBA,0,1,0,0,5,3,1097317,1257,17,0.00556881463802705,NA,NA,0.463007159904535,0.00715990453460621,0,NA,0.0771678599840891,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5237,2002,DON MATIAS,0,0,1,0,5,3,1097317,3380,17,0.00266272189349112,NA,NA,0.0955621301775148,0.00414201183431953,0,NA,0.269230769230769,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5240,2002,EBEJICO,0,1,0,0,5,3,1097317,3396,17,2.94464075382803e-4,NA,NA,0.698174322732627,0.00176678445229682,0,NA,0.0686101295641932,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5250,2002,EL BAGRE,0,1,0,0,5,3,1097317,5508,17,0.00853304284676834,NA,NA,0.114015976761075,0.0156136528685548,0,NA,0.0408496732026144,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5264,2002,ENTRERRIOS,0,1,0,0,5,3,1097317,1766,17,0.00226500566251416,NA,NA,0.44563986409966,0.00679501698754247,0,NA,0.154586636466591,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5266,2002,ENVIGADO,0,1,0,0,5,3,1097317,64573,17,0.0039954779861552,NA,NA,0.415870410233379,0.0054357084230251,0,NA,0.15489446053304,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5282,2002,FREDONIA,0,1,0,0,5,3,1097317,5564,17,0.00431344356578001,NA,NA,0.42235801581596,0.00341480948957584,0,NA,0.200215672178289,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5284,2002,FRONTINO,0,1,0,0,5,3,1097317,3949,17,0.00405165864775893,NA,NA,0.4907571537098,0.00253228665484933,0,NA,0.199290959736642,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5306,2002,GIRALDO,0,1,0,0,5,3,1097317,1306,17,NA,NA,NA,0.305513016845329,0.00306278713629403,0,NA,0.159264931087289,NA,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5308,2002,GIRARDOTA,0,0,1,0,5,3,1097317,8869,17,0.00484834817905063,NA,NA,0.17115796594881,0.00732889841019281,0,NA,0.175217048145225,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5310,2002,GOMEZ PLATA,0,1,0,0,5,3,1097317,2003,17,0.00848726909635547,NA,NA,0.200698951572641,0.00299550673989016,0,NA,0.18172740888667,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5313,2002,GRANADA,0,0,1,0,5,3,1097317,1811,17,0.00662617338487024,NA,NA,0.0419657647708448,0.00552181115405853,0,NA,0.101049144119271,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5315,2002,GUADALUPE,0,1,0,0,5,3,1097317,1177,17,8.49617672047579e-4,NA,NA,0.503823279524214,0.00169923534409516,0,NA,0.0858113848768054,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5318,2002,GUARNE,0,0,1,0,5,3,1097317,9208,17,0.00749348392701998,NA,NA,0.154648132059079,0.00955690703735882,0,NA,0.322219808861859,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5321,2002,GUATAPE,0,1,0,0,5,3,1097317,2025,17,9.87654320987654e-4,NA,NA,0.325432098765432,9.87654320987654e-4,0,NA,0.13037037037037,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5347,2002,HELICONIA,0,1,0,0,5,3,1097317,1745,17,0.00114613180515759,NA,NA,0.191404011461318,0.00458452722063037,0,NA,0.153581661891117,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5353,2002,HISPANIA,0,0,1,0,5,3,1097317,1960,17,0.00255102040816327,NA,NA,0.196428571428571,0.00255102040816327,0,NA,0.461734693877551,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5360,2002,ITAGUI,0,0,1,0,5,3,1097317,58171,17,0.00646370184456172,NA,NA,0.230424094480067,0.00845782262639459,0,NA,0.232624503618642,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5361,2002,ITUANGO,0,0,1,0,5,3,1097317,2361,17,0.00465904277848369,NA,NA,0.238034731046167,0.00508259212198221,0,NA,0.393477340110123,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5364,2002,JARDIN,0,0,1,0,5,3,1097317,3966,17,0.00453857791225416,NA,NA,0.0695915279878971,0.00353000504286435,0,NA,0.379475542107917,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5368,2002,JERICO,0,1,0,0,5,3,1097317,4332,17,0.00415512465373961,NA,NA,0.327793167128347,0.00484764542936288,0,NA,0.206602031394275,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5376,2002,LA CEJA,0,1,0,0,5,3,1097317,13114,17,0.0038127192313558,NA,NA,0.393472624675919,0.00343144730822022,0,NA,0.249428092115297,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5380,2002,LA ESTRELLA,0,1,0,0,5,3,1097317,10292,17,0.00757870190439176,NA,NA,0.178876797512631,0.00427516517683638,0,NA,0.0930820054411193,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5390,2002,LA PINTADA,0,1,0,0,5,3,1097317,1607,17,0.00248911014312383,NA,NA,0.289981331673927,0.00933416303671437,0,NA,0.197261978842564,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5400,2002,LA UNION,0,1,0,0,5,3,1097317,4635,17,0.00237324703344121,NA,NA,0.38554476806904,0.0101402373247033,0,NA,0.295361380798274,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5411,2002,LIBORINA,0,0,1,0,5,3,1097317,3170,17,0.00220820189274448,NA,NA,0.0943217665615142,0.00157728706624606,0,NA,0.17192429022082,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5425,2002,MACEO,0,0,1,0,5,3,1097317,1749,17,0.00114351057747284,NA,NA,0.0428816466552316,0.0028587764436821,0,NA,0.0451686678101772,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5440,2002,MARINILLA,0,0,1,0,5,3,1097317,10410,17,0.00355427473583093,NA,NA,0.0761767531219981,0.00461095100864553,0,NA,0.509510086455331,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5467,2002,MONTEBELLO,0,1,0,0,5,3,1097317,1686,17,0.00237247924080664,NA,NA,0.392052194543298,0.0029655990510083,0,NA,0.0432977461447212,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5475,2002,MURINDO,0,0,0,1,5,3,1097317,0,17,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.294117647058824,NA,0.352941176470588,NA,NA
camara02,5480,2002,MUTATA,0,0,1,0,5,3,1097317,1343,17,0.00446760982874162,NA,NA,0.197319434102755,0.00148920327624721,0,NA,0.327624720774386,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5483,2002,NARI/O,0,0,1,0,5,3,1097317,1882,17,0.00212539851222104,NA,NA,0.0786397449521785,0.00318809776833156,0,NA,0.426673751328374,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5490,2002,NECOCLI,0,0,1,0,5,3,1097317,5738,17,0.00209132101777623,NA,NA,0.0446148483792262,0.00243987452073893,0,NA,0.749912861624259,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
camara02,5495,2002,NECHI,0,1,0,0,5,3,1097317,3420,17,0.0152046783625731,NA,NA,0.423976608187135,0.0105263157894737,0,NA,0.0254385964912281,0,NA,NA,0.294117647058824,0,0.352941176470588,NA,0.352941176470588
